Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i10969172,"[New York] : Micro Text Publications ; Englewood Cliffs, N.J. : Prentice-Hall [distributor, c1984]",001.64404 B993,27,,  -  -    ,0133696790;0133696618 (pbk.),Guide to local area networks / T.J. Byers.,X
i10970101,"New York : Oxford University Press, 1985.",353.035 T254,3,,  -  -    ,019503628X : $25.00,"The press and the presidency : from George Washington to Ronald Reagan / John Tebbel, Sarah Miles Watts.",X
i10970150,"San Carlos, Calif. : Professional Publications, c1982.",620.0076 L743S,28,,  -  -    ,932276318,"Solutions manual for the Engineer-in-training review manual, with sample examination / Michael R. Lindeburg.",ONLY PRATT
i10970241,"New York, McGraw-Hill, 1950.",621.15 C561A3,16,,  -  -    ,,Steam turbines.,
i10970253,"New York, Arno Press , 1968.",326 A589,2,,  -  -    ,,The Anglo-African magazine. v. 1 ; Jan.-Dec.1859.,ONLY PRATT
i10970435,"[Notre Dame, Ind.] University of Notre Dame Press, 1965.",327.42 W344,0,,  -  -    ,,"Personalities and policies; studies in the formulation of British foreign policy in the twentieth century, by D.C. Watt.",
i10970484,"Berlin : Berthold ; New York : distributed in the U.S.A. by Hastings House Publishers, 1980.",686.224 B542,8,1,  -  -    ,3766705032,Berthold fototypes : body types / erlautert und zusammengestellt von Gotz Gorissen.,ONLY PRATT
i10970642,"Boston : South End Press, c1984.",363.46 M136,17,,  -  -    ,0896082652 (hard) : $20.00;0896082644 (pbk.) : $8.00,Not an easy choice : a feminist re-examines abortion / Kathleen McDonnell.,X
i10970812,"Princeton, N.J., Princeton University Press, 1970.",327.497 R896,5,,  -  -    ,691051801 11.00,"Yugoslavia and the nonaligned world, by Alvin Z. Rubinstein.",
i10971038,"Madison, Wis. : University of Wisconsin Press, 1985.",363.58 S529,8,,  -  -    ,029909880X : $32.50,"Housing the poor of Paris, 1850-1902 / Ann-Louise Shapiro.",X
i10971257,"Monticello, Ill. : Vance Bibliographies, [1984]",016.72 G834,0,,  -  -    ,0890281637 (pbk.) : $3.00,Recent architecture and interior design in New York City : a bibliography / Frances C. Gretes.,ONLY PRATT
i10971282,"Claremont, Calif. : Regina Books, c1985.",327.73072 L581,3,,  -  -    ,0941690148 : $17.95;094169013X (pbk.) : $10.95,"Central America and United States policies, 1820s-1980s : a guide to issues and references / Thomas M. Leonard.",X
i10971452,"Boston, MA : G.K. Hall, 1985.",016.70972 B515,0,,  -  -    ,081618562X,The art of pre-Hispanic Mesoamerica : an annotated bibliography / Janet Catherine Berlo.,X
i1097152x,"Westport, Conn. : Greenwood Press, 1985.",385.0973 I91,6,,  -  -    ,0313243395 (lib. bdg.),Off the track : the decline of the intercity passenger train in the United States / Donald M. Itzkoff.,X
i10971609,"New York : IEEE Press, c1984.",621.381958 V985,4,,  -  -    ,879421800,"VLSI, technology and design / edited by Otto G. Folberth, Warren D. Grobman.",
i1097166x,"New York : Simon and Schuster, c1985.",174.9097 G624,2,,  -  -    ,671499602,The news at any cost : how journalists compromise their ethics to shape the news / Tom Goldstein.,
i10972493,"New York, NY : Macmillan, c1984.",523.1 D612,9,,  -  -    ,0025316702 : $16.95,The hidden universe / Michael Disney.,X
i10972559,"New York : Chelsea Pub. Co., 1956.",512.8 M139T,0,,  -  -    ,,The theory of matrices.,
i10972560,"New York : Basic Books, c1985.",336.7471 S542,1,,  -  -    ,0465058752 : $21.95,"Political crisis, fiscal crisis : the collapse and revival of New York City / Martin Shefter.",X
i10972699,"[Flushing, NY] : Queens College Press, [1985?], c1984.",507 C678,4,,  -  -    ,$3.50,Science fair research in a college library / Jackson B. Cohen.,X
i10972717,"New York, N.Y. : Facts on File Publications ; [London] : Longman, [1985]",327.51047 J78,2,,  -  -    ,816013020,"China and the Soviet Union 1949-84 / compiled by Peter Jones and Siân Kevill ; general editor, Alan J. Day.",X
i10972973,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10972985,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10972997,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i1097300x,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10973011,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10973023,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10973035,"Washington, U. S. Govt. Print. Off., 1961-66.",353.03 U58P,0,,  -  -    ,,"Public papers of the Presidents of the United States: Harry S. Truman; containing the public messages, speeches, and statements of the President, 1945-1952/53.",
i10973345,"Cambridge, Harvard University Press, 1950.",655 M861T,8,,  -  -    ,,The typographic arts; two lectures.,
i10973424,"Chicago : University of Chicago Press, c1985.",327.73056 S755,0,,  -  -    ,226769615,"The other Arab-Israeli conflict : making America's Middle East policy, from Truman to Reagan / Steven L. Spiegel.",X
i10973941,"London : Chatto & Windus, 1984.",327.174 B234,6,,  -  -    ,0701128283 (pbk.) : L.4.95,Peace moves : nuclear protest in the 1980s / photographs by Ed Barber ; text by Zoe Fairbairns and James Cameron.,ONLY PRATT
i10974246,"Washington : The Office ; Springfield, Va. : available from National Technical Information Service, [1976?]",665.7 U58C,5,,  -  -    ,,"Coal demonstration plants : 1975 technical report / Office of Fossil Energy, Energy Research and Development Administration.",ONLY PRATT
i10974258,"New York, Wiley [1968]",660.284 H658,5,,  -  -    ,,Process analysis and simulation: deterministic systems [by] David M. Himmelblau [and] Kenneth B. Bischoff.,
i10974970,"New York? MAC Publishers Association, 1965, c1960]",693.6 D559M,5,,  -  -    ,,Manual of lathing and plastering [by] John R. Diehl.,
i10975068,"New York : McGraw-Hill, c1981.",665.5 M294,0,,  -  -    ,0070317453 : $37.95,Manuel d'évaluation économique des procédés. English.;Manual of economic analysis of chemical processes : feasibility studies in refinery and petrochemical processes / Institut francais du petrole ; Alain Chauvel ... [et al.] ; translated from the French by Ryle Miller and Ethel B. Miller,ONLY PRATT
i10975317,"New York, M. Dekker, 1973.",664.0285 F335,0,,  -  -    ,824711858,"Low-temperature preservation of foods and living matter [by] Owen R. Fennema, William D. Powrie [and] Elmer H. Marth.",
i10975597,"New York : Random House Business Division, c1985.",621.381 B855,1,,  -  -    ,039455003X,Gearing up for the fast lane : new tools for management in a high-tech world / Deborah S. Bright.,X
i10975603,"New York : Simon & Schuster, 1985.",340.0973 F911,6,,  -  -    ,0671815911;0671528076 (pbk.) : $15.95,A history of American law / Lawrence M. Friedman.,X
i10975676,"New York : McGraw-Hill, c1984.",690.0184 o13C3,16,,  -  -    ,0070476632 : $39.95 (est.),CPM in construction management / James J. O'Brien.,X
i10975688,"New York : Norton, c1986.",323.4 K53SC,45,,  -  -    ,393022560,King remembered / Flip Schulke and Penelope Ortner McPhee.,
i10975780,"Santa Barbara [Calif.] : Wiley, c1976.",658.8 D151,8,,  -  -    ,471191302,"Marketing management : text and cases / Douglas J. Dalrymple, Leonard J. Parsons.",
i10975949,"New Haven : Yale University Press, c1985.",306.48 R288,3,1,  -  -    ,0300032307 (alk. paper),Pleasures of the belle epoque : entertainment and festivity in turn-of-the-century France / Charles Rearick.,
i10975950,"Cleveland, CRC Press [c1973]",668.6 E26,9,,  -  -    ,878191011,Persistent pesticides in the environment [by] C. A. Edwards.,
i10976000,"London, Grafton & co., 1937.",676 G762B,3,,  -  -    ,,"Books & documents; dating, permanence and preservation, by Julius Grant ...",
i10976085,"Cambridge, Mass. : MIT Press, c1984.",523.4 E42,6,,  -  -    ,262050315,Rings : discoveries from Galileo to Voyager / James Elliot and Richard Kerr.,X
