Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i11160068,Ljubljana : col. ill. ; 25 cm.,338.762 I81I,2,,  -  -    ,,"Iskra, 1946-1976 / [editor, Stane Bernik ; text, Peter Likar]",ONLY PRATT
i11160378,"Boston : Bulfinch Press, c1989.",574.94 F834,14,2,  -  -    ,821217291,The Undercliff : a naturalist's sketchbook of the Devon to Dorset coast / Elaine Franks ; foreword by John Fowles.,ONLY PRATT
i1116038x,"New Haven : Yale University Press, c1989.",509.5 B287,9,,  -  -    ,0300042612 (alk. paper),The formation of science in Japan : building a research tradition / James R. Bartholomew.,X
i11161735,"New York : W.W. Norton, c1989.",560.9 G698,7,,  -  -    ,393027058,Wonderful life : the Burgess Shale and the nature of history / Stephen Jay Gould.,
i11161747,"New York, N.Y. : Viking Studio Books, 1990.",635.90973 T167,28,1,  -  -    ,067082240X,Gardening America : regional and historical influences in the contemporary garden / Ogden Tanner.,X
i11162235,"Chester, Conn. : Globe Pequot Press, c1989.",387.155 R643,20,,  -  -    ,0871065258;0871065487 (cover),Southern lighthouses : Chesapeake Bay to the Gulf of Mexico / photographs by Bruce Roberts ; text by Ray Jones.,ONLY PRATT
i11162296,"Manchester ; New York : Manchester University Press ; New York : Distributed exclusively in the USA and Canada by St. Martin's Press, c1989.",509.2 J86C,1,,  -  -    ,719030250,James Joule : a biography / Donald S.L. Cardwell.,X
i11162508,"San Mateo, Calif. : Morgan Kaufman Publishers, c1989.",004.22 P317,3,1,  -  -    ,1558600698,"Computer architecture : a quantitative approach / David A. Patterson, John L. Hennessy.",X
i11162570,"New York : Norton, c1989.",303.4834 P419,6,,  -  -    ,393026493,Ideas and information : managing in a high-tech world / Arno Penzias.,
i11162648,"Hertfordshire [England] : Harvester Wheatsheaf ; Boulder, Colo. : L. Rienner Publishers, 1989.",305.4209 M645T,3,,  -  -    ,1555871550;9781555871550;0710813104;9780710813107,Mill and sexual equality / Gail Tulloch.,X
i11162703,"[New York, N.Y.] : New York Public Library ; Detroit, MI : Wayne State University Press [distributor], 1989.",002.023 S3695,4,,  -  -    ,0814321569 (Wayne State University Press) : $29.95;0814321577 (Wayne State University Press : pbk.) : $13.95,"Arthur Alfonso Schomburg, black bibliophile & collector : a biography / by Elinor Des Verney Sinnette.",X
i11162715,"[New York, N.Y.] : New York Public Library ; Detroit, MI : Wayne State University Press [distributor], 1989.",002.023 S3695,5,2,  -  -    ,0814321569 (Wayne State University Press) : $29.95;0814321577 (Wayne State University Press : pbk.) : $13.95,"Arthur Alfonso Schomburg, black bibliophile & collector : a biography / by Elinor Des Verney Sinnette.",X
i11162806,"Cambridge, Mass. : Harvard University Press, 1989.",574.192 K84,4,,  -  -    ,0674307755 (alk. paper),For the love of enzymes : the odyssey of a biochemist / Arthur Kornberg.,X
i1116282x,"New York : Gregg Division, McGraw-Hill, c1990.",621.902 K89,23,2,  -  -    ,70355630,"Technology of machine tools / Steve F. Krar, J. William Oswald.",
i11162831,"New York : Simon and Schuster, c1989.",153 C188,3,,  -  -    ,671657119,The improbable machine : what the upheavals in artificial intelligence research reveal about how the mind really works / Jeremy Campbell.,X
i11163148,"Alexandria, Va. : Time-Life Books, 1987.",502.8 R454,4,,  -  -    ,0809456877;0809456885 (lib. bdg.),Revolution in science / by the editors of Time-Life Books Inc.,
i11163203,"New York, N.Y. : Chemical Engineering, McGraw-Hill, c1980.",660.283 P963,1,,  -  -    ,76066754,Process piping systems / edited by David J. Deutsch and the staff of Chemical engineering.,ONLY PRATT
i11163343,"New York : Oxford University Press, 1989.",519.54 L479,1,,  -  -    ,019520803X (pbk.);0195208021 (hard),Bayesian statistics : an introduction / Peter M. Lee.,X
i1116346x,"New York : McGraw-Hill, c1989.",657.869 C775,5,,  -  -    ,70126135,"Construction accounting and financial management / William E. Coombs, William J. Palmer.",
i11163537,"New York, N.Y. : Chemical Engineering : McGraw-Hill, 1980-cl986.",660.283 P895,0,,  -  -    ,0076066517 (v. 1);0076069281 (v. 2),Practical process instrumentation and control / edited by the staff of Chemical engineering.,X
i11163549,"New York : Chemical Engineering, McGraw-Hill, c1979.",621.6 F646,9,,  -  -    ,0070107696;0076066312 (pbk.),"Fluid movers : pumps, compressors, fans, and blowers / edited by Jay Matley and the staff of Chemical engineering.",X
i11163628,"New York : Perennial Library, 1989, c1988.",502 F586,5,,  -  -    ,60972378,"Rainbows, curve balls, and other wonders of the natural world explained / Ira Flatow ; illustrations by Howard Coale.",
i11163793,"New York : Orion Books, c1989.",623.746 R522,31,,  -  -    ,517573431,Stealth / Doug Richardson.,
i11164566,"Scottsdale, AZ : Todd Publishing, c1988.",333.338 U58,4,,  -  -    ,935988335,The Uniform residential appraisal report handbook / compiled and edited by the National Association of Real Estate Appraisers.,ONLY PRATT
i11164700,"Boston : Allyn and Bacon, c1984.",300.2 K65,0,,  -  -    ,0205079628 (pbk.),Computer usage for social scientists / Douglas M. Klieger.,X
i11165054,"Norwood, N.J. : Ablex Pub. Corp., c1988.",342.730858 R896,2,,  -  -    ,893915181,"Private rights, public wrongs : the computer and personal privacy / Michael Rogers Rubin.",X
i11165509,"Newbury Park, Calif. : Sage Publications, c1990.",363.58 G721,100,1,  -  -    ,0803936664;0803936672 (pbk.),Government and housing : developments in seven countries / edited by Willem van Vliet-- and Jan van Weesep.,X
i11166411,"Berkeley : University of California Press, c1988.",307.764 S425,10,,  -  -    ,0520060784 (alk. paper),Metropolis : from the division of labor to urban form / Allen J. Scott.,X
i11166484,"Blue Ridge Summit, PA : TAB Professional and Reference Books, 1990.",620.0014 H153,7,,  -  -    ,0830633138;0830643133 (pbk.),Roger Haines on report writing : a guide for engineers / by Roger W. Haines.,ONLY PRATT
i11166757,"New York : Oxford University Press, 1990.",323.097 A512W,2,,  -  -    ,0195045394 (alk. paper),In defense of American liberties : a history of the ACLU / Samuel Walker.,X
i11166769,"New York : Oxford University Press, 1990.",323.097 A512W,1,,  -  -    ,0195045394 (alk. paper),In defense of American liberties : a history of the ACLU / Samuel Walker.,X
i11166836,"Englewood Cliffs, N.J. : Prentice-Hall, 1981.",537.6 G855,1,,  -  -    ,013481374X,Introduction to electrodynamics / David J. Griffiths.,X
i11167865,"New York : Macmillan Pub. Co. ; London : Collier Macmillan, c1988.",621.39 S782,20,,  -  -    ,24154512,Data and computer communications / William Stallings.,
i11167889,"New York : Macmillan ; London : Collier Macmillan, c1983.",307.764 G541,6,,  -  -    ,0023441208 (pbk.),"A history of urban America / Charles N. Glaab, A. Theodore Brown.",ONLY PRATT
i11168237,"New York, NY : Warner Books, c1990.",364.138 E34M,2,,  -  -    ,446514187,Eichmann in my hands / Peter Z. Malkin & Harry Stein.,X
i11168614,"New York : McGraw-Hill Pub. Co., c1990.",621.39 G312,10,,  -  -    ,70232539,"VLSI design techniques for analog and digital circuits / Randall L. Geiger, Phillip E. Allen, Noel R. Strader.",X
