Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY,Only at Pratt,Held at other library
i1000001x,"Alexandria, Va. : Time-Life Books, [1980]",387.2 W573,13,,  -  -    ,080942679X;0809426781 (lib. bdg.),The clipper ships / by A. B. C. Whipple and the editors of Time-Life Books.,X,1147,4025
i10000021,"Alexandria, Va. : Time-Life Books, [1980]",387.2 W573,9,,  -  -    ,080942679X;0809426781 (lib. bdg.),The clipper ships / by A. B. C. Whipple and the editors of Time-Life Books.,X,,
i10000197,"Reading, MA : Addison-Wesley Pub. Co., c1980.",658.314 D676,5,,  -  -    ,0201014734 : $8.95 (est.),Behavioral supervision : practical ways to change unsatisfactory behavior and increase productivity / Les Donaldson.,X,,
i10000380,"New York, C. Scribner's sons, 1882-1910.",270 S296,,,  -  -    ,,"History of the Christian church, by Philip Schaff.",,,
i10000392,"New York, C. Scribner's sons, 1882-1910.",270 S296,,1,  -  -    ,,"History of the Christian church, by Philip Schaff.",,,
i10000409,"New York, C. Scribner's sons, 1882-1910.",270 S296,1,,  -  -    ,,"History of the Christian church, by Philip Schaff.",,,
i10000434,"New York, C. Scribner's sons, 1882-1910.",270 S296,1,,  -  -    ,,"History of the Christian church, by Philip Schaff.",,,
i10000677,"New York : A.A. Wyn, Inc., 1950.",136.7 S839H,5,,  -  -    ,,The handicapped child : a guide for parents / by Edith M. Stern with Elsa Castendyck.,,,
i10000896,"Cambridge, Mass. : Oelgeschlager, Gunn & Hain, c1980.",336 T971,1,,  -  -    ,0899460097;0899460089 (pbk.),New York--world city : report of the Twentieth Century Fund Task Force on the Future of New York City : background paper / by Masha Sinnreich.,X,,
i10000902,"New York : Nostalgia, c1978.",658.872 S439N,11,,  -  -    ,0517535327 : $4.95,The Sears Roebuck catalogues of the thirties : selected pages from the entire decade.,ONLY PRATT,,
i10001529,"New York : Delacorte Press/S. Lawrence, c1980.",305.40973 C693,0,,  -  -    ,440096359,Women of crisis II : lives of work and dreams / Robert Coles and Jane Hallowell Coles.,,,
i10001657,"New York : Simon and Schuster, c1980.",333.711 B261,1,,  -  -    ,671224603,The lean years : politics in the age of scarcity / by Richard J. Barnet.,X,,
i10001669,"Indianapolis : Liberty Classics, c1980.",332.4 V947T1,9,,  -  -    ,0913966703 : $11.00;0913966711 (pbk.) : $5.00,The theory of money and credit / by Ludwig von Mises ; translated from the German by H.E. Batson.,,,
i10002029,"New York, McGraw-Hill, 1961.",130 S88,5,,  -  -    ,,"Man and civilization: control of the mind; a symposium, edited by Seymour M. Farber [and] Roger H. L. Wilson.",,,
i10002042,"London : Macmillan ; New York : St. Martin's Press, c1948.",330.104 H323,0,,  -  -    ,,Towards a dynamic economics : some recent developments of economic theory and their application to policy / by R. F. Harrod.,,,
i10002248,"New York : Harper & Row, 1979.",616.8914 M933,2,2,  -  -    ,,Psychotherapy with children : the living relationship / Clark E. Moustakas.,,,
i10002315,"New York : Industrial Press, c1981.",670.423 M729M2,6,,  -  -    ,0831111267 (v. 1);0831111321 (v. 2),Machine shop practice / K. H. Moltrecht.,X,,
i10002467,"New York : Random House, c1980.",150.1952 C594,6,1,  -  -    ,0394409833 : $19.95,"Freud, the man and the cause / Ronald W. Clark.",X,,
i10002625,"New York : St. Martin's Press, [1980]",658.314 Q6,11,,  -  -    ,0312660626 : $10.00,The Quick motivation method / by Thomas L. Quick.,X,,
i10002959,"New York, Scribner, 1952.",372.4 C397A,2,,  -  -    ,,The art of book reading.,,,
i10003150,"San Francisco, CA : Jossey-Bass Publishers, c1980.",378.013 H838,1,,  -  -    ,875894496,Continuing learning in the professions / Cyril O. Houle.,X,,
i1000340x,"Cambridge [Eng.] The University press, 1951.",330.94 C58E4,1,,  -  -    ,,"The economic development of France and Germany, 1815-1914, by J. H. Clapham.",,,
i10003733,"St. Louis : Mosby, 1966.",574.192 K64L7,3,,  -  -    ,,"Laboratory instructions in biochemistry / [by] Israel S. Kleiner [and] Louis B. Dotti, with the assistance of Isaac Neuwirth.",ONLY PRATT,,
i10004762,"College Station : Texas A&M University Press, 1980.",304.2 P512,23,,  -  -    ,0890960879 : $18.50,"American environmentalism : values, tactics, priorities / by Joseph M. Petulla.",X,,
i10004944,"Cambridge ; New York : Cambridge University Press, 1980.",320.51 G984,3,,  -  -    ,052122828X;052129665X (pbk.),Liberal equality / Amy Gutmann.,X,,
i10004993,"New York : Hill and Wang, 1980.",232.9 C295,4,,  -  -    ,0809060825 : $7.95;0809014106 (pbk.) : $2.95,Jesus / by Humphrey Carpenter.,X,,
i10005067,"New York : Oxford University Press, 1980.",427.9 M319A2,1,,  -  -    ,0195026004;0195026098 (pbk.),American English / Albert H. Marckwardt ; revised by J. L. Dillard.,X,,
i10005195,"London : Williams & Northgate, 1932.",370.4 W592A,9,,  -  -    ,,The aims of education : and other essays / by A. N. Whitehead.,,,
i10006229,"Washington, D.C. : RC Publications, c1977-",659.152 B561,33,1,  -  -    ,1048-2644 1048-2644 1,The Best in exhibition design.,,,
i10006230,"Washington, D.C. : RC Publications, c1977-",659.152 B561,7,,  -  -    ,1048-2644 1048-2644 1,The Best in exhibition design.,,,
i10006254,"Washington, D.C. : RC Publications, c1977-",659.152 B561,30,1,  -  -    ,1048-2644 1048-2644 1,The Best in exhibition design.,,,
i10006266,"Washington, D.C. : RC Publications, c1977-",659.152 B561,26,,  -  -    ,1048-2644 1048-2644 1,The Best in exhibition design.,,,
i1000628x,"Washington, D.C. : RC Publications, c1977-",659.152 B561,0,1,  -  -    ,1048-2644 1048-2644 1,The Best in exhibition design.,,,
i10006497,"New York : Basic Books, c1980.",303.4 N724,8,,  -  -    ,0465030254 : $16.95,History of the idea of progress / Robert Nisbet.,X,,
i10006709,"Washington, D.C. : American Council on Education, c1980.",378.73 K29S,2,,  -  -    ,826814425,Self-study processes : a guide for postsecondary institutions / by H. R. Kells.,,,
i10006825,"New York : Plenum Press, c1980.","641.1 I61, v.1",13,,  -  -    ,306403420,Food and nutrition programs and policies : [proceedings] / edited by Walter Santos...[et al],ONLY PRATT,,
i10006916,"New York : Arco Pub., c1980.",290 C381,18,,  -  -    ,0668049294 : $16.95,The great religions / Richard Cavendish.,X,,
i10006941,"Chapel Hill : Published for the Institute of Early American History and Culture by the University of North Carolina Press, c1980.",305.42 K39,1,,  -  -    ,0807814407;0807840653 (pbk.),Women of the Republic : intellect and ideology in Revolutionary America / by Linda K. Kerber.,,,
i10007015,"New Haven : Yale University Press, 1980.",324.973 W859,2,,  -  -    ,0300025416;0300025521 (pbk.),Who votes? / Raymond E. Wolfinger and Steven J. Rosenstone.,X,,
i10007234,"Cambridge, Mass. : Harvard University Press, 1980.",530.092 O62O,13,,  -  -    ,674776054,"Robert Oppenheimer, letters and recollections / edited by Alice Kimball Smith, Charles Weiner.",X,,
i10007246,"Hastings-on-Hudson, N.Y. : Hastings Center, c1980.",174.4 P888E,21,,  -  -    ,091655810X,"Ethics in the education of business managers / Charles W. Powers, David Vogel.",X,,
i10007301,"New York : M. Dekker, 1969.",541.348 C673,1,,  -  -    ,,Solute-solvent interactions / Edited by J. F. Coetzee and CalvinD. Ritchie.,,,
i10007544,"New York : Norton, 1980.",069 S467,0,,  -  -    ,0393057003 : $14.95,Mr. Peale's Museum : Charles Willson Peale and the first popular museum of natural science and art / Charles Coleman Sellers.,X,,
i10007660,"Leicester [Eng.] The Dryad press, 1931.",686.2 S594P,2,,  -  -    ,,"Printing explained; an elementary practical handbook for schools and amateurs, by Herbert Simon and Harry Carter. Illustrated by G. M. Freebairn.",,,
i10007775,"Washington, D.C. : for sale by the superintendent of documents, the United States Government Printing Office, [1955].",333.91 U58,3,,  -  -    ,,Water.,,,
i10007970,"New York : Rizzoli, c1979.",391.0945 B894,0,,  -  -    ,0847802558;9780847802555,"Umberto Brunelleschi, fashion-stylist, illustrator, stage and costume designer / introd. by Cristina Nuzzi ; [edited by Laura Casalis ; translated from the Italian by Katherine Benita Wells ; photos. by Valerio Signorini].",X,,
i10008068,"Littleton, Colo. : Libraries Unlimited, 1980.",371.332 B433,8,,  -  -    ,0872872076 : $13.50,"Basic classroom skills through games / Irene Wood Bell, Jeanne E. Wieckert ; illustrated by Jay Conley.",ONLY PRATT,,
i10008123,"Minneapolis : University of Minnesota Press, c1980.",305.897 D781,5,,  -  -    ,0816609780 : $20.00,Facing west : the metaphysics of Indian-hating and empire-building / by Richard Drinnon.,X,,
i10008251,"Indianapolis, Bobbs-Merrill [1971]",338.74 B219,0,,  -  -    ,L.3.25,The juggernauts: the age of the big corporation.,,,
